underlying_id,value_date,settle_value
C  Z7,2017-01-01,380.0
C  Z7,2017-01-02,380.0
C  Z7,2017-01-03,383.5
C  Z7,2017-01-04,386.75
C  Z7,2017-01-05,388.5
C  Z7,2017-01-08,385.5
C  Z7,2017-01-09,387.5
C  Z7,2017-01-10,386.5
C  Z7,2017-01-11,385.75
C  Z7,2017-01-12,386.0
C  Z7,2017-01-15,386.25
C  Z7,2017-01-16,386.25
C  Z7,2017-01-17,392.5
C  Z7,2017-01-18,391.75
C  Z7,2017-01-19,393.5
C  Z7,2017-01-22,395.75
C  Z7,2017-01-23,396.0
C  Z7,2017-01-24,391.0
C  Z7,2017-01-25,393.75
C  Z7,2017-01-26,390.75
C  Z7,2017-01-29,389.25
C  Z7,2017-01-30,385.5
C  Z7,2017-01-31,387.25
C  Z7,2017-02-01,396.25
C  Z7,2017-02-02,394.5
C  Z7,2017-02-05,392.75
C  Z7,2017-02-06,392.0
C  Z7,2017-02-07,396.25
C  Z7,2017-02-08,397.5
C  Z7,2017-02-09,395.75
C  Z7,2017-02-12,399.25
C  Z7,2017-02-13,399.5
C  Z7,2017-02-14,399.5
C  Z7,2017-02-15,402.75
C  Z7,2017-02-16,399.0
C  Z7,2017-02-19,394.25
C  Z7,2017-02-20,394.25
C  Z7,2017-02-21,395.75
C  Z7,2017-02-22,397.25
C  Z7,2017-02-23,391.75
C  Z7,2017-02-26,391.0
C  Z7,2017-02-27,388.75
C  Z7,2017-02-28,393.75
C  Z7,2017-03-01,401.25
C  Z7,2017-03-02,398.5
C  Z7,2017-03-05,399.25
C  Z7,2017-03-06,398.0
C  Z7,2017-03-07,396.0
C  Z7,2017-03-08,392.75
C  Z7,2017-03-09,388.25
C  Z7,2017-03-12,386.5
C  Z7,2017-03-13,383.5
C  Z7,2017-03-14,384.25
C  Z7,2017-03-15,385.0
C  Z7,2017-03-16,387.5
C  Z7,2017-03-19,389.75
C  Z7,2017-03-20,386.25
